1,2,3,4,5
sponge,muffler,torpid,dilettante,tout
commemorate,perilous,occluded,rumple,tamp
sadistic,apprise,provisional,curmudgeon,canvass
dote,dismal,ire,bequest,minatory
encapsulate,trickle,engender,remonstrate,slate
fission,enthral,rotund,propitious,stipple
volatile,disencumber,wean,drone,plumb
alloy,impending,profuse,stymie,stanch
dormant,lavish,savant,roll,fledged
gallant,stickler,ruddy,inchoate,demur
grievous,avow,beatify,obtrusive,aspersion
enzyme,stigma,vain,reproach,deferential
shard,mendacious,pry,facetious,sundry
hypocrisy,indulge,enervate,rivet,blatant
eradicate,castigation,adamant,burgeon,consternation
chisel,deter,puerile,fatuous,cadge
infuriate,vehemence,glut,jibe,brummagem
engulf,benevolence,equivocate,baleful,spurn
euphoria,gist,crease,rapacious,purvey
sanction,incredulous,ascertain,wan,bedizen
renowned,squat,splice,figurehead,desuetude
riddle,exuberance,discrete,fetid,obstreperous
evoke,soar,reticent,overweening,suppliant
mischievous,tenacity,sting,preen,countenance
implicit,incessant,dynamo,vacillation,presumption
disproof,procrastination,penitent,discountenance,belabor
misogynist,conciliatory,dirge,eschew,redoubtable
abysmal,subdue,elegy,provident,balk
writ,transient,retinue,equanimity,supercilious
pertain,tassel,stolid,pedantic,stygian
erratic,apostate,effrontery,extricable,virago
meticulous,engrave,cogitate,barrage,orison
impromptu,berate,obtuse,impetuous,trite
inclined,connotation,dissolution,macerate,preponderance
constrict,flaunting,indolence,forswear,reprobate
perish,empirical,privation,mendicant,hermetic
Lambaste,impair,consummate,hubris,expiation
luminary,immaculate,paucity,atonement,rebus
dupe,pillage,diatribe,saturnine,vagary
auxiliary,extrovert,pyre,supplicate,imperviousness
extralegal,prone,derision,slur,trencherman
ambivalent,astute,pusillanimous,rueful,hew
tonic,coy,erudite,excoriation,proscribe
endorse,truce,churlish,skiff,sententious
turbulence,precepts,pulchritude,soporific,portent
connoisseur,exorbitant,corporeal,profundity,doggerel
indistinct,mollify,mercurial,blandness,dissemble
abstruse,incorrigibility,streak,ford,venal
limp,taciturn,insularity,cloture,picaresque
parenthesis,sober,pedestrian,blithe,splenetic
sophisticated,approbation,equable,hallow,ferret
aberration,conviction,decry,scabbard,petrified
recuperate,castigate,coeval,egress,duress
perjury,bolster,penchant,boggle,peripatetic
mite,efface,admonitory,rant,profligacy
pest,vex,onus,contemn,imprecation
pluck,fallacious,vanquish,dereliction,succor
satiate,flamboyant,nascent,petrous,lithe
colloquial,nonchalant,luculent,benison,mettlesome
yeoman,gorge,secular,perspicacity,froward
ail,poncho,auspicious,tortuous,travesty
fidelity,grandiloquent,palliate,seminal,fulsome
mesmerize,pitfall,extirpate,machination,puissance
paradigm,coddle,dearth,mendacity,acarpous
gullible,impassive,recidivism,entreat,pied
sobriety,lull,pellucid,restive,pileous
dislodge,curtail,baneful,prudish,effete
fleet,perch,cogent,perfidy,sobriquet
articulate,inscrutable,lurk,esoteric,wend
tractable,shrill,condone,labyrinthine,edacious
partisan,prudence,discredit,incumbents,constrain
predominate,cohort,assiduous,prune,fulmination
foolproof,boorish,covetous,depredation,slake
suffice,timorous,accretion,molt,nibble
permeate,imperturbable,foray,contrite,pique
spear,arboreal,lumber,manacle,ponderous
solvent,rescind,coda,stigmatize,brook
presentiment,intersperse,indelible,imbroglio,detraction
vivacious,oblivious,cornucopia,germane,salutary
coagulation,ignoble,elicit,goad,welter
liberality,espouse,veneer,probity,repast
elaborate,sagacious,serration,forage,cavalcade
brass,nebulous,deprave,indigence,nostrum
malleable,disseminate,dainty,maladroit,nonplused
patron,bask,petrify,fervid,pith
immutable,heed,odious,vacuity,refulgent
forgery,precarious,fledgling,overhaul,stint
woo,incise,dilate,cravat,suborn
cordial,endearing,censure,vestige,expatiate
cumbersome,ebullient,denigrate,specious,recondite
beguile,inferno,highbrow,cordon,garble
retrograde,palpitate,tocsin,flax,palaver
sheath,fluke,inane,aleck,fustian
bewilder,fluster,tyro,poignant,mince
knit,graze,duplicity,exploit,scurvy
unscathed,laudatory,chauvinist,subsume,epithet
chortle,matriculation,caustic,petulant,sedulous
jabber,susceptibility,turbid,eddy,prolix
pivotal,embellish,protracted,rubicund,importune
implosion,ominous,taut,interdict,bilge
repel,ostracism,interim,platitude,involute
superimpose,divulge,abjure,parsimonious,abraid
centurion,pliant,prevaricate,severance,sere
enigma,maverick,punctilious,ineluctable,droll
calipers,malapropism,inundate,insouciant,descry
redeem,quell,ignominious,predilection,brazen
buoyant,extort,avid,halcyon,repine
impede,cling,bellicose,flout,limn
stride,sidestep,plaque,gouge,wag
boisterous,dubious,malign,lugubrious,coruscate
resuscitation,irascible,sanctimony,upbraid,lucubrate
concur,fidget,consume,chary,crass
recitals,epitome,ingenuous,officious,consequential
treacherous,corroboration,lien,onerous,foment
indulgent,garner,veracity,demagogue,recreancy
pilferer,ambrosial,snub,profligate,testiness
foster,ferocity,attenuate,feint,arrant
apartheid,expurgate,inimical,cabal,quibble
garrulous,cantankerous,phlegmatic,belligerent,lam
edify,arabesque,barren,impute,Archaic
evasive,attune,exigency,obsequious,imbibe
misanthrope,chaste,finagle,retard,repose
eulogy,efficacy,florid,deprecate,perfunctorily
arcane,rift,libel,inveterate,impasse
bogus,palpability,credulity,mulct,pulchritudinous
dexterity,veer,aver,aplomb,eupeptic
lampoon,insensible,dud,spurious,Chicane
skit,gourmand,forbearance,propitiatory,brobdingnagian
incongruous,plead,idiosyncrasy,maudlin,Exodus
repulsive,morbid,chagrin,tautology,Rejoinder
refine,enmity,obdurate,dulcet,Furtive
